# Chunk-averaged data for fix binvelocity_data and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
161000 31 1949.0000000000002
  20 35.75 44.1334 0.000286017
  21 37.5833 49.6634 0.000471703
  22 39.4167 45.8711 0.000562528
  23 41.25 46.3951 0.000879189
  24 43.0833 49.0937 0.000759135
  25 44.9167 37.3837 0.00104125
  26 46.75 74.1083 0.000802217
  27 48.5833 0.379143 0.00102361
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
206500 31 1949.0000000000002
  1 0.916667 362.047 -0.00169958
  2 2.75 60.7651 -0.000189404
  3 4.58333 34.4994 -0.000207075
  4 6.41667 58.428 -0.000280231
  5 8.25 46.302 -0.000163329
  6 10.0833 48.2343 -5.64779e-05
  7 11.9167 45.5371 -0.000136869
  8 13.75 49.616 -0.000253583
  9 15.5833 48.4777 -0.000201053
  10 17.4167 47.2089 -0.000242958
  11 19.25 48.8551 -0.000446401
  12 21.0833 46.6 -0.000333616
  13 22.9167 49.1689 0.000174353
  14 24.75 45.0443 -6.13421e-05
  15 26.5833 47.1751 -0.000189023
  16 28.4167 49.3869 6.28712e-05
  17 30.25 47.5897 0.000226128
  18 32.0833 46.4857 0.000501347
  19 33.9167 47.5766 0.000413302
  20 35.75 47.8954 0.00047252
  21 37.5833 46.9823 0.000465372
  22 39.4167 48.0234 0.000476776
  23 41.25 47.7346 0.000366468
  24 43.0833 52.0223 0.000473408
  25 44.9167 38.3203 0.00073339
  26 46.75 76.9011 0.000643042
  27 48.5833 0.122857 -0.000921823
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
210000 31 1949.0000000000005
  1 0.916667 362.013 -0.00169973
  2 2.75 64.4303 -0.000164273
  3 4.58333 30.286 -0.000190571
  4 6.41667 56.7771 -0.000115532
  5 8.25 49.456 -0.000208554
  6 10.0833 48.2883 -0.000461519
  7 11.9167 48.7423 -0.000419667
  8 13.75 47.102 -0.000378669
  9 15.5833 49.7643 2.29632e-05
  10 17.4167 49.4431 -7.11345e-05
  11 19.25 46.4857 -1.53573e-05
  12 21.0833 46.7611 2.1593e-05
  13 22.9167 50.318 -0.000114833
  14 24.75 46.4166 0.000112901
  15 26.5833 48.138 4.06003e-05
  16 28.4167 45.9371 -7.72085e-06
  17 30.25 47.304 0.000303097
  18 32.0833 47.9126 0.000278477
  19 33.9167 48.548 0.000434769
  20 35.75 48.1026 0.000280693
  21 37.5833 43.9031 0.000318664
  22 39.4167 48.1254 0.000254122
  23 41.25 46.5229 0.000446552
  24 43.0833 53.46 0.000192434
  25 44.9167 37.3551 0.00042768
  26 46.75 75.326 0.000341187
  27 48.5833 0.0814286 -0.000613763
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
213500 31 1949.0000000000005
  1 0.916667 362.036 -0.00170044
  2 2.75 62.5026 -0.000281965
  3 4.58333 32.3257 -0.000283353
  4 6.41667 57.3417 -0.000376691
  5 8.25 47.8671 -0.000273539
  6 10.0833 45.6263 -0.000269868
  7 11.9167 49.4109 -0.000162319
  8 13.75 47.6997 -0.000314548
  9 15.5833 48.8694 -0.000265641
  10 17.4167 48.416 -0.000371207
  11 19.25 47.1674 8.99113e-05
  12 21.0833 48.2689 0.000284905
  13 22.9167 51.1606 0.000336657
  14 24.75 44.1229 0.000199412
  15 26.5833 49.5251 0.000257948
  16 28.4167 47.3997 0.000384995
  17 30.25 48.4611 0.000314984
  18 32.0833 46.7623 0.000128652
  19 33.9167 47.2391 0.000180386
  20 35.75 46.438 3.36243e-05
  21 37.5833 45.926 0.000125773
  22 39.4167 46.7774 0.000173462
  23 41.25 50.3526 0.000158091
  24 43.0833 51.388 4.77306e-05
  25 44.9167 37.5349 -0.00020913
  26 46.75 76.0006 3.61028e-05
  27 48.5833 0.38 0.000380743
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
217000 31 1949.0000000000002
  1 0.916667 362 -0.0017
  2 2.75 66.9517 -0.00073344
  3 4.58333 30.9291 -0.000597027
  4 6.41667 56.6063 -0.000356489
  5 8.25 48.9803 -0.00016785
  6 10.0833 49.1937 -0.000173041
  7 11.9167 47.3606 -0.000398302
  8 13.75 48.0957 -0.00037713
  9 15.5833 47.62 -0.000292646
  10 17.4167 47.4769 -0.000316576
  11 19.25 49.8426 -0.000457784
  12 21.0833 45.7674 -0.000403001
  13 22.9167 48.1603 -3.44045e-05
  14 24.75 45.4349 -0.000262315
  15 26.5833 46.7451 -8.17771e-05
  16 28.4167 48.0286 0.000328793
  17 30.25 48.9 0.000305361
  18 32.0833 46.7549 0.000367754
  19 33.9167 46.6183 -4.9984e-06
  20 35.75 48.49 0.000122564
  21 37.5833 48.0423 0.000235266
  22 39.4167 46.0217 0.00027414
  23 41.25 48.9503 0.00060808
  24 43.0833 51.0831 0.000372916
  25 44.9167 38.3254 0.000321669
  26 46.75 74.4891 0.000321885
  27 48.5833 0.131714 0.00186386
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
220500 31 1949.0000000000005
  1 0.916667 362 -0.0017
  2 2.75 66.3403 -0.000403804
  3 4.58333 31.5957 -0.000265714
  4 6.41667 52.9574 -0.000492162
  5 8.25 45.1911 -0.000536466
  6 10.0833 47.8009 -0.000743785
  7 11.9167 48.32 -0.000666167
